DATE,DAY,HOLIDAY,,us,ROK,KATUSA,,DOD(US),USFK(LN),CFC(KN),DODEA(US)
3-10-24,THURSDAY,NATIONAL FOUNDATION DAY (ROK),,NO,YES,NO,,NO,YES,YES,NO
9-10-24,WEDNESDAY,HANGUL (KOREAN LANGUAGE) DAY (ROK),,NO,YES,NO,,NO,YES,YES,NO
11-10-24,FRIDAY,COLUMBUS DAY (US) TRAINING HOLIDAY,,YES,NO,YES,,NO,NO,NO,RECESS
14-10-24,MONDAY,COLUMBUS DAY (US),,YES,NO,YES,,YES,NO,NO,YES
8-11-24,FRIDAY,KOREAN EMPLOYEE UNION FOUNDATION DAY,,NO,NO,NO,,NO,YES,NO,NO
8-11-24,FRIDAY,VETERAN'S DAY (US) TRAINING HOLIDAY,,YES,NO,YES,,NO,NO,NO,PTC
11-11-24,MONDAY,VETERAN'S DAY (US) OBSERVED,,YES,YES,YES,,YES,NO,NO,YES
28-11-24,THURSDAY,THANKSGIVING DAY (US),,YES,YES,YES,,YES,NO,NO,YES
29-11-24,FRIDAY,THANKSGIVING TRAINING HOLIDAY (US),,YES,NO,YES,,NO,NO,NO,RECESS
25-12-24,WEDNESDAY,CHRISTMAS  DAY (US/ROK),,YES,YES,YES,,YES,YES,YES,WNBRK
27-12-24,FRIDAY,CHRISTMAS DAY (US) TRAINING HOLIDAY,,YES,NO,YES,,NO,NO,NO,WNBRK
30-12-24,MONDAY,EOY TRAINING HOLIDAY,,YES,YES,YES,,YES,YES,YES,WNBRK
1-1-24,WEDNESDAY,NEW YEAR'S DAY (US/ROK),,,,,,,,,
2-1-25,THURSDAY,NEW YEARS DAY (USFK KN),,NO,NO,NO,,NO,YES,NO,WNBRK
17-1-25,FRIDAY,DR. MLK DAY TRAINING HOLIDAY (US),,YES,NO,YES,,NO,NO,NO,TWO
20-1-25,MONDAY,DR. MARTIN LUTHER KING DAY (US),,YES,NO,YES,,YES,NO,NO,YES
28-1-25,TUESDAY,LUNAR NEW YEAR (ROK),,NO,YES,YES,,NO,YES,YES,NO
29-1-25,WEDNESDAY,LUNAR NEW YEAR (US/ROK),,YES,YES,YES,,YES,YES,YES,NO
30-1-25,THURSDAY,LUNAR NEW YEAR (ROK),,NO,YES,YES,,NO,YES,YES,NO
10-2-25,MONDAY,SUPERBOWL LIX(59) TRAINING HOLIDAY (US),,YES,NO,YES,,NO,NO,NO,CCRS
14-2-25,FRIDAY,WASHINGTON'S  BIRTHDAY TRAINING HOLIDAY (US),,YES,NO,YES,,NO,NO,NO,RECESS
17-2-25,MONDAY,WASHINGTON'S BIRTHDAY (US),,YES,NO,YES,,YES,NO,NO,YES
1-3-25,SATURDAY,INDEPENDENCE  MOVEMENT DAY (ROK),,NO,YES,NO,,NO,YES,YES,WKND
3-3-25,MONDAY,INDEPENDENCE  MOVEMENT DAY (ROK) ALT,,NO,YES,NO,,NO,YES,YES,NO
24-3-25,MONDAY,EXERCISE TRAINING HOLIDAY,,YES,YES,YES,,NO,NO,NO,NO
25-3-25,TUESDAY,EXERCISE TRAINING HOLIDAY,,YES,YES,YES,,NO,NO,NO,NO
1-5-25,THURSDAY,LABOR DAY (USFK LN ONLY),,NO,NO,NO,,NO,YES,NO,NO
5-5-25,MONDAY,CHILDREN'S DAY (ROK),,NO,YES,NO,,NO,YES,YES,NO
5-5-25,MONDAY,BUDDHA'S BIRTHDAY (ROK),,NO,YES,YES,,NO,YES,YES,NO
6-5-25,TUESDAY,BUDDHA'S BIRTHDAY (ROK) ALT,,NO,YES,YES,,NO,YES,YES,NO
23-5-25,FRIDAY,MEMORIAL DAY TRAINING HOLIDAY (US),,YES,NO,YES,,NO,NO,NO,RECESS
26-5-25,MONDAY,MEMORIAL DAY (US),,YES,NO,YES,,YES,NO,NO,YES
6-6-25,TUESDAY,MEMORIAL DAY (ROK),,NO,YES,NO,,NO,YES,YES,NO
19-6-25,THURSDAY,JUNETEENTH HOLIDAY (US),,YES,NO,YES,,YES,NO,NO,SMBRK
20-6-25,FRIDAY,JUNETEENTH  TRAINING HOLIDAY (US),,YES,NO,YES,,NO,NO,NO,SMBRK
4-7-25,FRIDAY,INDEPENDENCE  DAY (US),,YES,NO,YES,,YES,NO,NO,SMBRK
7-7-25,MONDAY,INDEPENDENCE  DAY TRAINING HOLIDAY (US),,YES,NO,YES,,NO,NO,NO,SMBRK
15-8-25,FRIDAY,LIBERATION DAY (ROK),,NO,YES,NO,,NO,YES,YES,NO
1-9-25,MONDAY,LABOR DAY (US),,YES,YES,YES,,YES,NO,NO,YES
2-Seo-25,TUESDAY,LABOR DAY TRAINING HOLIDAY (US),,YES,NO,YES,,NO,NO,NO,NO
8-9-25,MONDAY,EXERCISE TRAINING HOLIDAY,,YES,YES,YES,,NO,NO,NO,NO
9-9-25,TUESDAY,EXERCISE TRAINING HOLIDAY,,YES,YES,YES,,NO,NO,NO,NO
,,,,,,,,,,,
Direct questions to michael.j.arnold28.civ@army.mil,,,,,,,,,,,
